Date,Open,High,Low,Close,Adj Close,Volume
2016-02-19,3.089536,3.089536,2.726062,3.080000,2.798756,1402900
2016-02-22,2.907799,3.062276,2.889625,3.210000,2.916886,489500
2016-02-23,2.844191,2.953233,2.617019,2.890000,2.626106,926800
2016-02-24,2.535237,2.726062,2.380760,2.990000,2.716975,546400
2016-02-25,2.753322,2.753322,2.517063,2.850000,2.589758,679100
2016-02-26,2.689714,2.862365,2.617019,2.880000,2.617019,858600
2016-02-29,2.635193,2.771496,2.617019,2.960000,2.689714,692700
2016-03-01,2.726062,3.071363,2.726062,3.340000,3.035015,886700
2016-03-02,2.989581,3.634749,2.907799,3.900000,3.543880,1257300
2016-03-03,3.453011,3.889182,3.398490,3.740000,3.398490,2168800
2016-03-04,3.480272,3.643835,3.343969,3.750000,3.407577,981800
2016-03-07,3.434838,4.234482,3.334882,4.590000,4.170875,2052300
2016-03-08,4.143613,4.579783,3.516619,3.910000,3.552967,1153400
2016-03-09,3.852833,3.852833,3.271274,3.890000,3.534793,685300
2016-03-10,3.707444,3.707444,3.334882,3.720000,3.380316,510700
2016-03-11,3.489358,3.798312,3.425750,3.800000,3.453011,1052500
2016-03-14,3.589314,4.870563,3.507532,5.070000,4.607044,5755300
2016-03-15,4.488915,4.670652,4.298090,4.910000,4.461654,1909300
2016-03-16,4.579783,5.361254,4.507088,5.800000,5.270386,2504400
2016-03-17,5.361254,6.070030,5.361254,6.430000,5.842858,2964000
2016-03-18,5.906466,6.051857,5.206778,6.230000,5.661121,9345100
2016-03-21,5.633860,5.815598,5.015953,5.810000,5.279473,1681900
2016-03-22,5.224951,5.352167,5.015953,5.800000,5.270386,666500
2016-03-23,5.197690,5.261299,4.861476,5.390000,4.897823,755900
2016-03-24,4.797868,5.170430,4.561610,5.540000,5.034127,1323400
2016-03-28,5.034127,5.152256,4.652478,5.450000,4.952344,1294800
2016-03-29,4.861476,4.961432,4.588870,5.390000,4.897823,786100
2016-03-30,4.988693,5.252212,4.988693,5.650000,5.134083,1368600
2016-03-31,5.061388,5.261299,5.006866,5.670000,5.152256,611800
2016-04-01,4.997779,5.088648,4.825129,5.390000,4.897823,1341200
2016-04-04,4.897823,4.961432,4.561610,5.120000,4.652478,882200
2016-04-05,4.507088,4.625217,4.398046,4.980000,4.525262,697100
2016-04-06,4.543436,4.843302,4.443480,5.210000,4.734260,513800
2016-04-07,4.697912,4.834217,4.570697,5.080000,4.616131,319000
2016-04-08,4.870563,5.234038,4.716087,5.570000,5.061388,990500
2016-04-11,5.152256,5.261299,4.915997,5.480000,4.979606,677800
2016-04-12,5.034127,5.361254,4.988693,5.840000,5.306733,794100
2016-04-13,5.361254,5.761077,5.343081,6.220000,5.652034,1032400
2016-04-14,5.742903,5.806510,5.524817,6.250000,5.679295,478200
2016-04-15,5.515731,5.751990,5.397602,6.110000,5.552078,503200
2016-04-18,5.288559,5.861032,5.224951,6.280000,5.706556,602000
2016-04-19,5.861032,6.360810,5.724730,6.920000,6.288115,1223900
2016-04-20,6.288115,6.587982,6.070030,6.780000,6.160899,1234600
2016-04-21,6.224507,6.442592,5.933727,6.780000,6.160899,866000
2016-04-22,6.179073,6.360810,6.042770,6.810000,6.188159,1087000
2016-04-25,6.360810,6.360810,6.024596,6.720000,6.106377,554100
2016-04-26,6.306289,6.306289,6.051857,6.800000,6.179073,521900
2016-04-27,6.188309,6.336090,5.846567,6.570000,6.068237,868100
2016-04-28,5.929693,6.095946,5.551006,6.170000,5.698786,1187300
2016-04-29,5.772676,5.865038,5.320098,5.970000,5.514060,1107100
2016-05-02,5.532533,5.532533,5.181554,5.920000,5.467880,510600
2016-05-03,5.264680,5.467880,5.181554,5.900000,5.449407,634900
2016-05-04,5.421698,5.643368,5.163082,5.760000,5.320098,913900
2016-05-05,5.467880,5.523296,5.079955,5.560000,5.135373,738300
2016-05-06,5.043010,5.403225,5.033774,5.520000,5.098428,349100
2016-05-09,5.033774,5.098428,4.618141,5.410000,4.996828,773800
2016-05-10,5.033774,5.523296,5.006065,5.890000,5.440170,719900
2016-05-11,5.375517,6.086710,5.172318,6.220000,5.744967,928000
2016-05-12,5.957402,6.169837,5.403225,5.950000,5.495587,533900
2016-05-13,5.412462,5.504825,5.218499,5.700000,5.264680,350100
2016-05-16,5.430933,5.624896,5.366280,5.950000,5.495587,304000
2016-05-17,5.477115,5.726495,5.375517,5.950000,5.495587,347000
2016-05-18,5.467880,5.551006,5.264680,5.780000,5.338572,373000
2016-05-19,5.218499,5.661841,4.849048,6.000000,5.541770,1232800
2016-05-20,5.310862,5.865038,5.264680,6.240000,5.763440,650200
2016-05-23,5.763440,5.911221,5.541770,6.140000,5.671077,549500
2016-05-24,5.708022,5.772676,5.366280,6.010000,5.551006,349600
2016-05-25,5.671077,5.948165,5.587951,6.260000,5.781913,685900
2016-05-26,5.874276,5.957402,5.615659,6.130000,5.661841,393100
2016-05-27,5.569479,5.689549,5.532533,6.150000,5.680314,350700
2016-05-31,5.661841,6.022056,5.661841,6.310000,5.828094,805700
2016-06-01,5.800385,5.800385,5.467880,6.200000,5.726495,931600
2016-06-02,5.624896,5.735731,5.551006,6.150000,5.680314,895100
2016-06-03,5.754204,5.800385,5.375517,5.870000,5.421698,968200
2016-06-06,5.467880,5.708022,5.467880,6.100000,5.634132,705400
2016-06-07,5.689549,5.717259,5.467880,5.960000,5.504825,607500
2016-06-08,5.661841,5.818858,5.560241,6.170000,5.698786,965500
2016-06-09,5.569479,5.791149,5.412462,5.930000,5.477115,815900
2016-06-10,5.357043,5.467880,4.913702,5.390000,4.978356,1483800
2016-06-13,4.821339,4.821339,4.257926,4.730000,4.368762,2595600
2016-06-14,4.341053,4.405706,3.934656,4.370000,4.036255,2087300
2016-06-15,4.073201,4.479597,3.749930,4.810000,4.442652,3387000
2016-06-16,4.414943,4.627378,3.860765,4.550000,4.202509,2638900
2016-06-17,4.728976,5.079955,4.627378,5.360000,4.950647,10357100
2016-06-20,5.098428,5.181554,4.802866,5.540000,5.116900,1599400
2016-06-21,5.089191,5.458642,4.932175,5.690000,5.255445,1273500
2016-06-22,5.301626,5.467880,5.236972,5.720000,5.283153,891500
2016-06-23,5.440170,5.532533,5.320098,5.930000,5.477115,875900
2016-06-24,4.932175,5.421698,4.932175,5.750000,5.310862,1208800
2016-06-27,5.107664,5.227735,4.627378,5.050000,4.664323,1680500
2016-06-28,4.959883,5.236972,4.904466,5.600000,5.172318,988400
2016-06-29,5.301626,5.551006,5.163082,5.890000,5.440170,883300
2016-06-30,5.495587,5.541770,5.292390,5.950000,5.495587,889000
2016-07-01,5.495587,5.708022,5.264680,5.850000,5.403225,997900
2016-07-05,5.218499,5.255445,4.784394,5.420000,5.006065,875900
2016-07-06,4.969120,5.393989,4.913702,5.590000,5.163082,525700
2016-07-07,5.338572,5.338572,4.867521,5.330000,4.922938,731000
2016-07-08,5.052246,5.107664,4.821339,5.530000,5.107664,804900
2016-07-11,5.172318,5.292390,5.135373,5.640000,5.209263,554000
2016-07-12,5.412462,5.541770,5.236972,5.960000,5.504825,692100
2016-07-13,5.467880,5.541770,5.153845,5.700000,5.264680,661800
2016-07-14,5.384752,5.403225,5.227735,5.750000,5.310862,443100
2016-07-15,5.310862,5.357043,5.172318,5.780000,5.338572,424700
2016-07-18,5.292390,5.486351,5.098428,5.920000,5.467880,424200
2016-07-19,5.421698,5.477115,5.301626,5.820000,5.375517,290100
2016-07-20,5.338572,5.458642,5.227735,5.810000,5.366280,465200
2016-07-21,5.366280,5.541770,5.292390,5.770000,5.329335,462500
2016-07-22,5.301626,5.421698,5.227735,5.680000,5.246208,444000
2016-07-25,5.218499,5.310862,5.153845,5.640000,5.209263,536000
2016-07-26,5.172318,5.255445,5.079955,5.620000,5.190790,400500
2016-07-27,5.162529,5.341521,5.077742,5.500000,5.181370,388600
2016-07-28,5.181370,5.181370,4.861067,5.180000,4.879908,534700
2016-07-29,4.823384,5.388624,4.823384,5.570000,5.247315,649300
2016-08-01,5.021218,5.190791,4.870488,5.230000,4.927012,824700
2016-08-02,5.068322,5.124846,4.663233,5.150000,4.851646,746800
2016-08-03,4.813964,5.087163,4.804543,5.270000,4.964694,574400
2016-08-04,4.879908,5.115426,4.795122,5.190000,4.889329,547600
2016-08-05,4.936432,5.021218,4.776281,5.270000,4.964694,414600
2016-08-08,5.002378,5.115426,4.908170,5.280000,4.974115,716400
2016-08-09,5.002378,5.030639,4.813964,5.210000,4.908170,805900
2016-08-10,4.908170,4.992957,4.851646,5.190000,4.889329,796800
2016-08-11,4.927012,4.974115,4.851646,5.210000,4.908170,448400
2016-08-12,4.917591,4.927012,4.766860,5.090000,4.795122,647600
2016-08-15,4.832805,4.992957,4.832805,5.220000,4.917591,442200
2016-08-16,4.945853,4.945853,4.832805,5.200000,4.898749,314200
2016-08-17,4.879908,4.964694,4.832805,5.240000,4.936432,544900
2016-08-18,5.181370,5.642982,5.153108,5.890000,5.548776,1240900
2016-08-19,5.577038,5.605300,5.332100,5.740000,5.407466,524000
2016-08-22,5.322680,5.341521,5.087163,5.470000,5.153108,558600
2016-08-23,5.171949,5.379204,5.171949,5.600000,5.275576,315600
